"code","long_description","medium_description","short_description"
"83914","Mutation identification by enzymatic ligation or primer extension, single segment, each segment (eg, oligonucleotide ligation assay [OLA], single base chain extension [SBCE], or allele-specific primer extension [ASPE])","MUTATION ID ENZYMATIC LIG/PRIMER XTN 1 SGM EA","MUTATION IDENT OLA/SBCE/ASPE"
"83915","Nucleotidase 5'-","NUCLEOTIDASE 5'-","ASSAY OF NUCLEOTIDASE"
"83916","Oligoclonal immune (oligoclonal bands)","OLIGOCLONAL IMMUNE","OLIGOCLONAL BANDS"
"83918","Organic acids; total, quantitative, each specimen","ORGANIC ACIDS TOTAL QUANTITATIVE EACH SPECIMEN","ORGANIC ACIDS TOTAL QUANT"
"83919","Organic acids; qualitative, each specimen","ORGANIC ACIDS QUALITATIVE EACH SPECIMEN","ORGANIC ACIDS QUAL EACH"
"83921","Organic acid, single, quantitative","ORGANIC ACID 1 QUANTITATIVE","ORGANIC ACID SINGLE QUANT"
"83925","Opiate(s), drug and metabolites, each procedure","OPIATE(S) DRUG AND METABOLITES EACH PROCEDURE","ASSAY OF OPIATES"
"83930","Osmolality; blood","OSMOLALITY BLOOD","ASSAY OF BLOOD OSMOLALITY"
"83935","Osmolality; urine","OSMOLALITY URINE","ASSAY OF URINE OSMOLALITY"
"83937","Osteocalcin (bone g1a protein)","OSTEOCALCIN","ASSAY OF OSTEOCALCIN"
"83945","Oxalate","OXALATE","ASSAY OF OXALATE"
"83950","Oncoprotein; HER-2/neu","ONCOPROTEIN HER-2/NEU","ONCOPROTEIN HER-2/NEU"
"83951","Oncoprotein; des-gamma-carboxy-prothrombin (DCP)","ONCOPROTEIN DES-GAMMA-CARBOXY-PROTHROMBIN DCP","ONCOPROTEIN DCP"
"83970","Parathormone (parathyroid hormone)","PARATHORMONE","ASSAY OF PARATHORMONE"
"83986","pH; body fluid, not otherwise specified","PH BODY FLUID NOT ELSEWHERE SPECIFIED","ASSAY PH BODY FLUID NOS"
"83987","pH; exhaled breath condensate","PH EXHALED BREATH CONDENSATE","EXHALED BREATH CONDENSATE"
"83992","Phencyclidine (PCP)","PHENCYCLIDINE","ASSAY FOR PHENCYCLIDINE"
"83993","Calprotectin, fecal","CALPROTECTIN FECAL","ASSAY FOR CALPROTECTIN FECAL"
"84022","Phenothiazine","PHENOTHIAZINE","ASSAY OF PHENOTHIAZINE"
"84030","Phenylalanine (PKU), blood","PHENYLALANINE BLOOD","ASSAY OF BLOOD PKU"
"84035","Phenylketones, qualitative","PHENYLKETONES QUALITATIVE","ASSAY OF PHENYLKETONES"
"84060","Phosphatase, acid; total","PHOSPHATASE ACID TOTAL","ASSAY ACID PHOSPHATASE"
"84061","Phosphatase, acid; forensic examination","PHOSPHATASE ACID FORENSIC EXAMINATION","PHOSPHATASE FORENSIC EXAM"
"84066","Phosphatase, acid; prostatic","PHOSPHATASE ACID PROSTATIC","ASSAY PROSTATE PHOSPHATASE"
"84075","Phosphatase, alkaline;","PHOSPHATASE ALKALINE","ASSAY ALKALINE PHOSPHATASE"
"84078","Phosphatase, alkaline; heat stable (total not included)","PHOSPHATASE ALKALINE HEAT STABLE","ASSAY ALKALINE PHOSPHATASE"
"84080","Phosphatase, alkaline; isoenzymes","PHOSPHATASE ALKALINE ISOENZYMES","ASSAY ALKALINE PHOSPHATASES"
"84081","Phosphatidylglycerol","PHOSPHATIDYLGLYCEROL","AMNIOTIC FLUID ENZYME TEST"
"84085","Phosphogluconate, 6-, dehydrogenase, RBC","PHOSPHOGLUCONATE 6-DEHYD RBC","ASSAY OF RBC PG6D ENZYME"
"84087","Phosphohexose isomerase","PHOSPHOHEXOSE ISOMERASE","ASSAY PHOSPHOHEXOSE ENZYMES"
"84100","Phosphorus inorganic (phosphate);","PHOSPHORUS INORGANIC","ASSAY OF PHOSPHORUS"
"84105","Phosphorus inorganic (phosphate); urine","PHOSPHORUS INORGANIC URINE","ASSAY OF URINE PHOSPHORUS"
"84106","Porphobilinogen, urine; qualitative","PORPHOBILINOGEN URINE QUALITATIVE","TEST FOR PORPHOBILINOGEN"
"84110","Porphobilinogen, urine; quantitative","PORPHOBILINOGEN URINE QUANTITATIVE","ASSAY OF PORPHOBILINOGEN"
"84112","Placental alpha microglobulin-1 (PAMG-1), cervicovaginal secretion, qualitative","PLACENTAL ALPHA MICROGLOBULIN C/V QUAL","PLACENTA ALPHA MICRO IG C/V"
"84119","Porphyrins, urine; qualitative","PORPHYRINS URINE QUALITATAIVE","TEST URINE FOR PORPHYRINS"
"84120","Porphyrins, urine; quantitation and fractionation","PORPHYRINS URINE QUANTITATION & FRACTIONATION","ASSAY OF URINE PORPHYRINS"
"84126","Porphyrins, feces; quantitative","PORPHYRINS FECES QUANTITATIVE","ASSAY OF FECES PORPHYRINS"
"84127","Porphyrins, feces; qualitative","PORPHYRINS FECES QUALITATIVE","ASSAY OF FECES PORPHYRINS"
"84132","Potassium; serum, plasma or whole blood","POTASSIUM SERUM PLASMA/WHOLE BLOOD","ASSAY OF SERUM POTASSIUM"
"84133","Potassium; urine","POTASSIUM URINE","ASSAY OF URINE POTASSIUM"
"84134","Prealbumin","PREALBUMIN","ASSAY OF PREALBUMIN"
"84135","Pregnanediol","PREGNANEDIOL","ASSAY OF PREGNANEDIOL"
"84138","Pregnanetriol","PREGNANETRIOL","ASSAY OF PREGNANETRIOL"
"84140","Pregnenolone","PREGNENOLONE","ASSAY OF PREGNENOLONE"
"84143","17-hydroxypregnenolone","17-HYDROXYPREGNENOLONE","ASSAY OF 17-HYDROXYPREGNENO"
"84144","Progesterone","PROGESTERONE","ASSAY OF PROGESTERONE"
"84145","Procalcitonin (PCT)","PROCALCITONIN (PCT)","PROCALCITONIN (PCT)"
"84146","Prolactin","PROLACTIN","ASSAY OF PROLACTIN"
"84150","Prostaglandin, each","PROSTAGLNDIN EACH","ASSAY OF PROSTAGLANDIN"
"84152","Prostate specific antigen (PSA); complexed (direct measurement)","PROSTATE SPECIFIC ANTIGEN COMPLEXED","ASSAY OF PSA COMPLEXED"
"84153","Prostate specific antigen (PSA); total","PROSTATE SPECIFIC ANTIGEN TOTAL","ASSAY OF PSA TOTAL"
"84154","Prostate specific antigen (PSA); free","PROSTATE SPECIFIC ANTIGEN FREE","ASSAY OF PSA FREE"
"84155","Protein, total, except by refractometry; serum, plasma or whole blood","PROTEIN XCPT REFRACTOMETRY SERUM PLASMA/WHL BLD","ASSAY OF PROTEIN SERUM"
"84156","Protein, total, except by refractometry; urine","PROTEIN TOTAL XCPT REFRACTOMETRY URINE","ASSAY OF PROTEIN URINE"
"84157","Protein, total, except by refractometry; other source (eg, synovial fluid, cerebrospinal fluid)","PROTEIN TOTAL XCPT REFRACTOMETRY OTH SRC","ASSAY OF PROTEIN OTHER"
"84160","Protein, total, by refractometry, any source","PROTEIN TOTAL REFRACTOMETRY ANY SRC","ASSAY OF PROTEIN ANY SOURCE"
"84163","Pregnancy-associated plasma protein-A (PAPP-A)","PREGNANCY-ASSOCIATED PLASMA PROTEIN-A","PAPPA SERUM"
"84165","Protein; electrophoretic fractionation and quantitation, serum","PROTEIN ELECTROPHORETIC FRACTJ&QUANTJ SERUM","PROTEIN E-PHORESIS SERUM"
"84166","Protein; electrophoretic fractionation and quantitation, other fluids with concentration (eg, urine, CSF)","PROTEIN ELECTROP FXJ&QUAN OTH FLUS CONCENTRATION","PROTEIN E-PHORESIS/URINE/CSF"
"84181","Protein; Western Blot, with interpretation and report, blood or other body fluid","PROTEIN WESTRN BLOT I&R BLOOD/OTHER FLUID","WESTERN BLOT TEST"
"84182","Protein; Western Blot, with interpretation and report, blood or other body fluid, immunological probe for band identification, each","PROTEIN WESTRN BLOT BLOOD/OTH FLU IMMUNOLOGICAL","PROTEIN WESTERN BLOT TEST"
"84202","Protoporphyrin, RBC; quantitative","PROTOPORPHYRIN RBC QUANTITATIVE","ASSAY RBC PROTOPORPHYRIN"
"84203","Protoporphyrin, RBC; screen","PROTOPORPHYRIN RBC SCREEN","TEST RBC PROTOPORPHYRIN"
"84206","Proinsulin","PROINSULIN","ASSAY OF PROINSULIN"
"84207","Pyridoxal phosphate (Vitamin B-6)","PYRIDOXAL PHOSPHATE","ASSAY OF VITAMIN B-6"
"84210","Pyruvate","PYRUVATE","ASSAY OF PYRUVATE"
"84220","Pyruvate kinase","PYRUVATE KINASE","ASSAY OF PYRUVATE KINASE"
"84228","Quinine","QUININE","ASSAY OF QUININE"
"84233","Receptor assay; estrogen","RECEPTOR ASSAY ESTROGEN","ASSAY OF ESTROGEN"
"84234","Receptor assay; progesterone","RECEPTOR ASSAY PROGESTERONE","ASSAY OF PROGESTERONE"
"84235","Receptor assay; endocrine, other than estrogen or progesterone (specify hormone)","RECEPTOR ASSAY ENDOCRINE OTH/THN ESTRGN/PROGST","ASSAY OF ENDOCRINE HORMONE"
"84238","Receptor assay; non-endocrine (specify receptor)","RECEPTOR ASSAY NON-ENDOCRINE SPECIFY RECEPTOR","ASSAY NONENDOCRINE RECEPTOR"
"84244","Renin","RENIN","ASSAY OF RENIN"
"84252","Riboflavin (Vitamin B-2)","RIBOFLAVIN","ASSAY OF VITAMIN B-2"
"84255","Selenium","SELENIUM","ASSAY OF SELENIUM"
"84260","Serotonin","SEROTONIN","ASSAY OF SEROTONIN"
"84270","Sex hormone binding globulin (SHBG)","SEX HORM BINDING GLOBULIN","ASSAY OF SEX HORMONE GLOBUL"
"84275","Sialic acid","SIALIC ACID","ASSAY OF SIALIC ACID"
"84285","Silica","SILICA","ASSAY OF SILICA"
"84295","Sodium; serum, plasma or whole blood","SODIUM SERUM PLASMA OR WHOLE BLOOD","ASSAY OF SERUM SODIUM"
"84300","Sodium; urine","SODIUM URINE","ASSAY OF URINE SODIUM"
"84302","Sodium; other source","SODIUM OTHER SOURCE","ASSAY OF SWEAT SODIUM"
"84305","Somatomedin","SOMATOMEDIN","ASSAY OF SOMATOMEDIN"
"84307","Somatostatin","SOMATOSTATIN","ASSAY OF SOMATOSTATIN"
"84311","Spectrophotometry, analyte not elsewhere specified","SPECTROPHOTOMETRY ANALYT NOT ELSEWHERE SPECIFIED","SPECTROPHOTOMETRY"
"84315","Specific gravity (except urine)","SPECIFIC GRAVITY EXCEPT URINE","BODY FLUID SPECIFIC GRAVITY"
"84375","Sugars, chromatographic, TLC or paper chromatography","SUGARS CHROMATOGRAPHIC TLC/PAPER CHROMATOGRAPHY","CHROMATOGRAM ASSAY SUGARS"
"84376","Sugars (mono-, di-, and oligosaccharides); single qualitative, each specimen","SUGARS MONO DI&OLIGOS 1 QUALITATAIVE EACH SPEC","SUGARS SINGLE QUAL"
"84377","Sugars (mono-, di-, and oligosaccharides); multiple qualitative, each specimen","SUGARS MONO DI&OLIGOS MLT QUALITATIVE EACH SPEC","SUGARS MULTIPLE QUAL"
"84378","Sugars (mono-, di-, and oligosaccharides); single quantitative, each specimen","SUGARS MONO DI&OLIGOS 1 QUANTITATIVE EACH SPEC","SUGARS SINGLE QUANT"
"84379","Sugars (mono-, di-, and oligosaccharides); multiple quantitative, each specimen","SUGARS MONO DI&OLIGOS MLT QUANTITATIVE EA SPEC","SUGARS MULTIPLE QUANT"
"84392","Sulfate, urine","SULFATE URINE","ASSAY OF URINE SULFATE"
"84402","Testosterone; free","TESTOSTERONE FREE","ASSAY OF TESTOSTERONE"
"84403","Testosterone; total","TESTOSTERONE TOTAL","ASSAY OF TOTAL TESTOSTERONE"
"84425","Thiamine (Vitamin B-1)","THIAMINE","ASSAY OF VITAMIN B-1"
"84430","Thiocyanate","THIOCYANATE","ASSAY OF THIOCYANATE"
"84431","Thromboxane metabolite(s), including thromboxane if performed, urine","THROMBOXANE METABOLITE W/WO THROMBOXANE URINE","THROMBOXANE URINE"
"84432","Thyroglobulin","THYROGLOBULIN","ASSAY OF THYROGLOBULIN"
"84436","Thyroxine; total","THYROXINE TOTAL","ASSAY OF TOTAL THYROXINE"
"84437","Thyroxine; requiring elution (eg, neonatal)","THYROXINE REQUIRING ELUTION","ASSAY OF NEONATAL THYROXINE"
"84439","Thyroxine; free","THYROXINE FREE","ASSAY OF FREE THYROXINE"
"84442","Thyroxine binding globulin (TBG)","THYROXINE BINDING GLOBULIN","ASSAY OF THYROID ACTIVITY"
"84443","Thyroid stimulating hormone (TSH)","THYROID STIMULATING HORMONE TSH","ASSAY THYROID STIM HORMONE"
"84445","Thyroid stimulating immune globulins (TSI)","THYROID STIMULATING IMMUNE GLOBULINS TSI","ASSAY OF TSI"
"84446","Tocopherol alpha (Vitamin E)","TOCOPHEROL ALPHA VITAMIN E","ASSAY OF VITAMIN E"
"84449","Transcortin (cortisol binding globulin)","TRANSCORTIN CORTISOL BINDING GLOBULIN","ASSAY OF TRANSCORTIN"
"84450","Transferase; aspartate amino (AST) (SGOT)","TRANSFERASE ASPARTATE AMINO AST SGOT","TRANSFERASE (AST) (SGOT)"
"84460","Transferase; alanine amino (ALT) (SGPT)","TRANSFERASE ALANINE AMINO ALT SGPT","ALANINE AMINO (ALT) (SGPT)"
"84466","Transferrin","TRANSFERRIN","ASSAY OF TRANSFERRIN"
"84478","Triglycerides","TRIGLYCERIDES","ASSAY OF TRIGLYCERIDES"
"84479","Thyroid hormone (T3 or T4) uptake or thyroid hormone binding ratio (THBR)","THYROID HORM UPTK/THYROID HORMONE BINDING RATIO","ASSAY OF THYROID (T3 OR T4)"
"84480","Triiodothyronine T3; total (TT-3)","TRIIODOTHYRONINE T3 TOTAL TT3","ASSAY TRIIODOTHYRONINE (T3)"
"84481","Triiodothyronine T3; free","TRIIODOTHYRONINE T3 FREE","FREE ASSAY (FT-3)"
"84482","Triiodothyronine T3; reverse","TRIIODOTHYRONINE T3 REVERSE","T3 REVERSE"
"84484","Troponin, quantitative","TROPONIN QUANTITATIVE","ASSAY OF TROPONIN QUANT"
"84485","Trypsin; duodenal fluid","TRYPSIN DUODENAL FLUID","ASSAY DUODENAL FLUID TRYPSIN"
"84488","Trypsin; feces, qualitative","TRYPSIN FECES QUALITATIVE","TEST FECES FOR TRYPSIN"
"84490","Trypsin; feces, quantitative, 24-hour collection","TRYPSIN FECES QUANTITATIVE 24-HR COLLECTION","ASSAY OF FECES FOR TRYPSIN"
"84510","Tyrosine","TYROSINE","ASSAY OF TYROSINE"
"84512","Troponin, qualitative","TROPONIN QUALITATIVE","ASSAY OF TROPONIN QUAL"
"84520","Urea nitrogen; quantitative","UREA NITROGEN QUANTITATIVE","ASSAY OF UREA NITROGEN"
"84525","Urea nitrogen; semiquantitative (eg, reagent strip test)","UREA NITROGEN SEMIQUANTITATIVE","UREA NITROGEN SEMI-QUANT"
"84540","Urea nitrogen, urine","UREA NITROGEN URINE","ASSAY OF URINE/UREA-N"
"84545","Urea nitrogen, clearance","UREA NITROGEN CLEARANCE","UREA-N CLEARANCE TEST"
"84550","Uric acid; blood","URIC ACID BLOOD","ASSAY OF BLOOD/URIC ACID"
"84560","Uric acid; other source","URIC ACID OTHER SOURCE","ASSAY OF URINE/URIC ACID"
"84577","Urobilinogen, feces, quantitative","UROBILINOGEN FECES QUANTITATIVE","ASSAY OF FECES/UROBILINOGEN"
"84578","Urobilinogen, urine; qualitative","UROBILINOGEN URINE QUALITATIVE","TEST URINE UROBILINOGEN"
"84580","Urobilinogen, urine; quantitative, timed specimen","UROBILINOGEN URINE QUANTITATIVE TIMED SPECIMEN","ASSAY OF URINE UROBILINOGEN"
"84583","Urobilinogen, urine; semiquantitative","UROBILINOGEN URINE SEMIQUANTITATIVE","ASSAY OF URINE UROBILINOGEN"
"84585","Vanillylmandelic acid (VMA), urine","VANILLYLMANDELIC ACID URINE","ASSAY OF URINE VMA"
"84586","Vasoactive intestinal peptide (VIP)","VASOACTIVE INTESTINAL PEPTIDE","ASSAY OF VIP"
"84588","Vasopressin (antidiuretic hormone, ADH)","VASOPRESSIN","ASSAY OF VASOPRESSIN"
"84590","Vitamin A","VITAMIN A","ASSAY OF VITAMIN A"
"84591","Vitamin, not otherwise specified","VITAMIN NOT OTHERWISE SPECIFIED","ASSAY OF NOS VITAMIN"
"84597","Vitamin K","VITAMIN K","ASSAY OF VITAMIN K"
"84600","Volatiles (eg, acetic anhydride, carbon tetrachloride, dichloroethane, dichloromethane, diethylether, isopropyl alcohol, methanol)","VOLATILES","ASSAY OF VOLATILES"
"84620","Xylose absorption test, blood and/or urine","XYLOSE ABSORPTION TEST BLOOD &/URINE","XYLOSE TOLERANCE TEST"
"84630","Zinc","ZINC","ASSAY OF ZINC"
"84681","C-peptide","C-PEPTIDE","ASSAY OF C-PEPTIDE"
"84702","Gonadotropin, chorionic (hCG); quantitative","GONADOTROPIN CHORIONIC QUANTITATIVE","CHORIONIC GONADOTROPIN TEST"
"84703","Gonadotropin, chorionic (hCG); qualitative","GONADOTROPIN CHORIONIC QUALITATIVE","CHORIONIC GONADOTROPIN ASSAY"
"84704","Gonadotropin, chorionic (hCG); free beta chain","GONADOTROPIN CHORIONIC HCG FREE BETA CHAIN","HCG FREE BETACHAIN TEST"
"84830","Ovulation tests, by visual color comparison methods for human luteinizing hormone","OVULATION TEST VISUAL COLOR COMPARISON HLH","OVULATION TESTS"
"84999","Unlisted chemistry procedure","UNLISTED CHEMISTRY PROCEDURE","CLINICAL CHEMISTRY TEST"
"85002","Bleeding time","BLEEDING TIME","BLEEDING TIME TEST"
"85004","Blood count; automated differential WBC count","BLOOD COUNT AUTOMATED DIFFERENTIAL WBC COUNT","AUTOMATED DIFF WBC COUNT"
"85007","Blood count; blood smear, microscopic examination with manual differential WBC count","BLOOD COUNT SMEAR MCRSCP W/MNL DIFRNTL WBC COUNT","BL SMEAR W/DIFF WBC COUNT"
"85008","Blood count; blood smear, microscopic examination without manual differential WBC count","BLD COUNT SMEAR MCRSCP W/O MNL DIFRNTL WBC COUNT","BL SMEAR W/O DIFF WBC COUNT"
"85009","Blood count; manual differential WBC count, buffy coat","BLOOD COUNT MANUAL DIFRNTL WBC COUNT BUFFY COAT","MANUAL DIFF WBC COUNT B-COAT"
"85013","Blood count; spun microhematocrit","BLOOD COUNT SPUN MICROHEMATOCRIT","SPUN MICROHEMATOCRIT"
"85014","Blood count; hematocrit (Hct)","BLOOD COUNT HEMATOCRIT","HEMATOCRIT"
"85018","Blood count; hemoglobin (Hgb)","BLOOD COUNT HEMOGLOBIN","HEMOGLOBIN"
"85025","Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) and automated differential WBC count","BLOOD COUNT COMPLETE AUTO&AUTO DIFRNTL WBC COUNT","COMPLETE CBC W/AUTO DIFF WBC"
"85027","Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count)","BLOOD COUNT COMPLETE AUTOMATED","COMPLETE CBC AUTOMATED"
"85032","Blood count; manual cell count (erythrocyte, leukocyte, or platelet) each","BLOOD COUNT MANUAL CELL COUNT EACH","MANUAL CELL COUNT EACH"
"85041","Blood count; red blood cell (RBC), automated","BLOOD COUNT RED BLOOD CELL AUTOMATED","AUTOMATED RBC COUNT"
"85044","Blood count; reticulocyte, manual","BLOOD COUNT RETICULOCYTE AUTOMATED","MANUAL RETICULOCYTE COUNT"
"85045","Blood count; reticulocyte, automated","BLOOD COUNT RETICULOCYTE AUTOMATED","AUTOMATED RETICULOCYTE COUNT"
"85046","Blood count; reticulocytes, automated, including 1 or more cellular parameters (eg, reticulocyte hemoglobin content [CHr], immature reticulocyte fraction [IRF], reticulocyte volume [MRV], RNA content), direct measurement","BLOOD COUNT RETICULOCYTES AUTO 1/> CELL MEAS","RETICYTE/HGB CONCENTRATE"
"85048","Blood count; leukocyte (WBC), automated","BLOOD COUNT LEUKOCYTE WBC AUTOMATED","AUTOMATED LEUKOCYTE COUNT"
"85049","Blood count; platelet, automated","BLOOD COUNT PLATELET AUTOMATED","AUTOMATED PLATELET COUNT"
"85055","Reticulated platelet assay","RETICULATED PLATELET ASSAY","RETICULATED PLATELET ASSAY"
"85060","Blood smear, peripheral, interpretation by physician with written report","BLOOD SMEAR PERIPHERAL INTERP PHYS W/WRIT REPORT","BLOOD SMEAR INTERPRETATION"
"85097","Bone marrow, smear interpretation","BONE MARROW SMEAR INTERPRETATION","BONE MARROW INTERPRETATION"
"85130","Chromogenic substrate assay","CHROMOGENIC SUBSTRATE ASSAY","CHROMOGENIC SUBSTRATE ASSAY"
"85170","Clot retraction","CLOT RETRACTION","BLOOD CLOT RETRACTION"
"85175","Clot lysis time, whole blood dilution","CLOT LYSIS TIME WHOLE BLOOD DILUTION","BLOOD CLOT LYSIS TIME"
"85210","Clotting; factor II, prothrombin, specific","CLOTTING FACTOR I PROTHROMBIN SPECIFIC","BLOOD CLOT FACTOR II TEST"
"85220","Clotting; factor V (AcG or proaccelerin), labile factor","CLOTTING FACTOR V ACG/PROACCELERIN LABILE FACTOR","BLOOD CLOT FACTOR V TEST"
"85230","Clotting; factor VII (proconvertin, stable factor)","CLOTTING FACTOR VII PROCONVERTIN STABLE FACTOR","BLOOD CLOT FACTOR VII TEST"
"85240","Clotting; factor VIII (AHG), 1-stage","CLOTTING FACTOR VIII AHG 1 STAGE","BLOOD CLOT FACTOR VIII TEST"
"85244","Clotting; factor VIII related antigen","CLOTTING FACTOR VIII RELATED ANTIGEN","BLOOD CLOT FACTOR VIII TEST"
"85245","Clotting; factor VIII, VW factor, ristocetin cofactor","CLOTTING FACTOR VIII VW FACTOR RISTOCETIN COFACT","BLOOD CLOT FACTOR VIII TEST"
"85246","Clotting; factor VIII, VW factor antigen","CLOTTING FACTOR VIII VW FACTOR ANTIGEN","BLOOD CLOT FACTOR VIII TEST"
"85247","Clotting; factor VIII, von Willebrand factor, multimetric analysis","CLOTTING FACTOR VIII MULTIMETRIC ANALYSIS","BLOOD CLOT FACTOR VIII TEST"
"85250","Clotting; factor IX (PTC or Christmas)","CLOTTING FACTOR IX PTC/CHRISTMAS","BLOOD CLOT FACTOR IX TEST"
"85260","Clotting; factor X (Stuart-Prower)","CLOTTING FACTOR X STUART-PROWER","BLOOD CLOT FACTOR X TEST"
"85270","Clotting; factor XI (PTA)","CLOTTING FACTOR XI PTA","BLOOD CLOT FACTOR XI TEST"
"85280","Clotting; factor XII (Hageman)","CLOTTING FACTOR XII HAGEMAN","BLOOD CLOT FACTOR XII TEST"
"85290","Clotting; factor XIII (fibrin stabilizing)","CLOTTING FACTOR XIII FIBRIN STABILIZING","BLOOD CLOT FACTOR XIII TEST"
"85291","Clotting; factor XIII (fibrin stabilizing), screen solubility","CLOTTING FACTOR XIII FIBRN STABILIZ SCREEN SOLUB","BLOOD CLOT FACTOR XIII TEST"
"85292","Clotting; prekallikrein assay (Fletcher factor assay)","CLOTTING PREKALLIKREIN ASSAY FLETCHER FACT ASSAY","BLOOD CLOT FACTOR ASSAY"
"85293","Clotting; high molecular weight kininogen assay (Fitzgerald factor assay)","CLOTTING HI MOLEC WEIGHT KININOGEN ASSAY","BLOOD CLOT FACTOR ASSAY"
"85300","Clotting inhibitors or anticoagulants; antithrombin III, activity","CLOTTING INHIBITORS ANTITHROMBIN III ACTIVITY","ANTITHROMBIN III TEST"
"85301","Clotting inhibitors or anticoagulants; antithrombin III, antigen assay","CLOTTING INHIBITRS ANTITHROMBN III ANTIGEN ASSAY","ANTITHROMBIN III TEST"
"85302","Clotting inhibitors or anticoagulants; protein C, antigen","CLOTTING INHIBITORS PROTEIN C ANTIGEN","BLOOD CLOT INHIBITOR ANTIGEN"
"85303","Clotting inhibitors or anticoagulants; protein C, activity","CLOTTING INHIBITORS PROTEIN C ACTIVITY","BLOOD CLOT INHIBITOR TEST"
"85305","Clotting inhibitors or anticoagulants; protein S, total","CLOTTING INHIBITORS PROTEIN S TOTAL","BLOOD CLOT INHIBITOR ASSAY"
"85306","Clotting inhibitors or anticoagulants; protein S, free","CLOTTING INHIBITORS PROTEIN S FREE","BLOOD CLOT INHIBITOR TEST"
"85307","Activated Protein C (APC) resistance assay","ACTIVATED PROTEIN C APC RESISTANCE ASSAY","ASSAY ACTIVATED PROTEIN C"
"85335","Factor inhibitor test","FACTOR INHIBITOR TEST","FACTOR INHIBITOR TEST"
"85337","Thrombomodulin","THROMBOMODULIN","THROMBOMODULIN"
"85345","Coagulation time; Lee and White","COAGULATION TIME LEE AND WHITE","COAGULATION TIME"
"85347","Coagulation time; activated","COAGULATION TIME ACTIVATED","COAGULATION TIME"
"85348","Coagulation time; other methods","COAGULATION TIME OTHER METHODS","COAGULATION TIME"
"85360","Euglobulin lysis","EUGLOBULIN LYSIS","EUGLOBULIN LYSIS"
"85362","Fibrin(ogen) degradation (split) products (FDP) (FSP); agglutination slide, semiquantitative","FIBRIN DGRADJ SPLT PRODUXS AGGLUJ SLIDE SEMIQUAN","FIBRIN DEGRADATION PRODUCTS"
"85366","Fibrin(ogen) degradation (split) products (FDP) (FSP); paracoagulation","FIBRIN DGRADJ SPLT PRODUXS PARACOAGJ","FIBRINOGEN TEST"
"85370","Fibrin(ogen) degradation (split) products (FDP) (FSP); quantitative","FIBRIN DGRADJ SPLT PRODUCTS QUANTITATIVE","FIBRINOGEN TEST"
"85378","Fibrin degradation products, D-dimer; qualitative or semiquantitative","FIBRIN DGRADJ PRODUCTS D-DIMER QUAL/SEMIQUAN","FIBRIN DEGRADE SEMIQUANT"
"85379","Fibrin degradation products, D-dimer; quantitative","FIBRIN DGRADJ PRODUCTS D-DIMER QUANTITATIVE","FIBRIN DEGRADATION QUANT"
"85380","Fibrin degradation products, D-dimer; ultrasensitive (eg, for evaluation for venous thromboembolism), qualitative or semiquantitative","FIBRIN DGRADJ PRODUCTS D-DIMER ULTRASENSITIVE","FIBRIN DEGRADATION VTE"
"85384","Fibrinogen; activity","FIBRINOGEN ACTIVITY","FIBRINOGEN"
"85385","Fibrinogen; antigen","FIBRINOGEN ANTIGEN","FIBRINOGEN"
"85390","Fibrinolysins or coagulopathy screen, interpretation and report","FIBRINOLYSINS/COAGULOPATHY SCREEN INTERP&REPORT","FIBRINOLYSINS SCREEN"
"85396","Coagulation/fibrinolysis assay, whole blood (eg, viscoelastic clot assessment), including use of any pharmacologic additive(s), as indicated, including interpretation and written report, per day","COAGJ/FBRNLYS ASSAY WHOLE BLOOD ADDITIVE PER DAY","CLOTTING ASSAY WHOLE BLOOD"
"85397","Coagulation and fibrinolysis, functional activity, not otherwise specified (eg, ADAMTS-13), each analyte","COAGJ&FIBRINOLYSIS FUNCTIONAL ACTV NOS EA ANALYT","CLOTTING FUNCT ACTIVITY"
"85400","Fibrinolytic factors and inhibitors; plasmin","FIBRINOLYTIC FACTORS & INHIBITORS PLASMIN","FIBRINOLYTIC PLASMIN"
"85410","Fibrinolytic factors and inhibitors; alpha-2 antiplasmin","FBRNLYC FACTORS&INHIBITORS ALPHA-2 ANTIPLASMIN","FIBRINOLYTIC ANTIPLASMIN"
"85415","Fibrinolytic factors and inhibitors; plasminogen activator","FBRNLYC FACTORS&INHIBITORS PLSMNG ACTIVATOR","FIBRINOLYTIC PLASMINOGEN"
"85420","Fibrinolytic factors and inhibitors; plasminogen, except antigenic assay","FBRNLYC FACTORS&INHIBITRS PLSMNG XCPT AGIC ASSAY","FIBRINOLYTIC PLASMINOGEN"
"85421","Fibrinolytic factors and inhibitors; plasminogen, antigenic assay","FBRNLYC FACTORS&INHIBITORS PLSMNG AGIC ASSAY","FIBRINOLYTIC PLASMINOGEN"
"85441","Heinz bodies; direct","HEINZ BODIES DIRECT","HEINZ BODIES DIRECT"
"85445","Heinz bodies; induced, acetyl phenylhydrazine","HEINZ BODIES INDUCED ACETYL PHENYLHYDRAZINE","HEINZ BODIES INDUCED"
"85460","Hemoglobin or RBCs, fetal, for fetomaternal hemorrhage; differential lysis (Kleihauer-Betke)","HGB/RBCS FETAL FETOMATERNAL HEMRRG DIFRNTL LYSIS","HEMOGLOBIN FETAL"
